reviewerID,asin,overall,Screen,Design,Protection,Price_Quality,Power_Charging,Audio,clean_text,Camera,Bluetooth_Features,Signal_Strength,Voice_Calls,Customer_Service,Return_Policy,Overall_Experience,Signal_Range,Connection_Frequency,Battery_Life,Visibility,Microphone,User_Experience,Durability,Reliability,Belt_Clip,Blue_Light_Impact,Quality,Wind_Resistance,Bluetooth_Connectivity,Noise_Cancellation,Overall
A30TL5EWN6DFXT,120401325X,4,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASY55RVNIL0UD,120401325X,5,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
A2TMXE2AFO7ONB,120401325X,5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWJ0WZQYMYFQ4,120401325X,4,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
ATX7CZYFXI1KW,120401325X,5,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
APX47D16JOP7H,120401325X,3,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
A1JVVYYO7G56DS,120401325X,5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6FGO4TBZ3QFZ,3998899561,1,,,,-0.8,-0.9,,,,,,,,,,,,,,,,,,,,,,,,
A2JWEDW5FSVB0F,3998899561,5,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,
A8AJS1DW7L3JJ,3998899561,5,,0.9,0.9,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,
A2YO4SCWAWNYBI,3998899561,5,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A3AFELPYTZH90T,3998899561,5,,0.8,0.9,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,
A6Q0P54QSP11J,3998899561,5,,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANMATY0L0HX6Y,3998899561,5,,0.9,0.95,0.85,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A1XBPVR8FE7TE1,3998899561,5,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
A35C4777EXZZQH,3998899561,5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
ACU3LCRX4A8RV,3998899561,5,,,0.9,0.95,0.8,,,,,,,,,,,,,,,,,,,,,,,,
A1ZTTNS6SWFV52,6073894996,5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
A38EHCCO532RYI,6073894996,5,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A2INSXDTE08WSJ,6073894996,1,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
A9NETBZNEW2TP,6073894996,5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
A385HZRPXDDFCL,6073894996,5,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,
ALZQ9D8V53TI2,6073894996,3,,0.8,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
A3VWU7S29LR2XX,6073894996,4,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,
A3TOHPW7ES23NZ,6073894996,4,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,
A1LGWLFF0YD0KV,6073894996,5,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
